i,Variable,Definition
1559,NOLOAN_WDRAW_ORIG_YR8_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 8 years
1560,NOLOAN_WDRAW_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years
1561,NOLOAN_WDRAW_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 8 years
1562,NOLOAN_ENRL_ORIG_YR8_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 8 years
1563,NOLOAN_ENRL_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
1564,NOLOAN_ENRL_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
1565,NOLOAN_UNKN_ORIG_YR8_RT,Percent of students who never received a federal loan at the institution and with status unknown within 8 years at original institution
1566,NOLOAN_UNKN_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
1567,NOLOAN_UNKN_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years
1568,FIRSTGEN_DEATH_YR8_RT,Percent of first-generation students who died within 8 years at original institution
1569,FIRSTGEN_COMP_ORIG_YR8_RT,Percent of first-generation students who completed within 8 years at original institution
1570,FIRSTGEN_COMP_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 8 years
1571,FIRSTGEN_COMP_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 8 years
1572,FIRSTGEN_WDRAW_ORIG_YR8_RT,Percent of first-generation students withdrawn from original institution within 8 years
1573,FIRSTGEN_WDRAW_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 8 years
1574,FIRSTGEN_WDRAW_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 8 years
1575,FIRSTGEN_ENRL_ORIG_YR8_RT,Percent of first-generation students who were still enrolled at original institution within 8 years
1576,FIRSTGEN_ENRL_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 8 years
1577,FIRSTGEN_ENRL_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 8 years
1578,FIRSTGEN_UNKN_ORIG_YR8_RT,Percent of first-generation students with status unknown within 8 years at original institution
1579,FIRSTGEN_UNKN_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years
1580,FIRSTGEN_UNKN_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years
1581,NOT1STGEN_DEATH_YR8_RT,Percent of not-first-generation students who died within 8 years at original institution
1582,NOT1STGEN_COMP_ORIG_YR8_RT,Percent of not-first-generation students who completed within 8 years at original institution
1583,NOT1STGEN_COMP_4YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 4-year institution and completed within 8 years
1584,NOT1STGEN_COMP_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 8 years
1585,NOT1STGEN_WDRAW_ORIG_YR8_RT,Percent of not-first-generation students withdrawn from original institution within 8 years
1586,NOT1STGEN_WDRAW_4YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 8 years
1587,NOT1STGEN_WDRAW_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 8 years
1588,NOT1STGEN_ENRL_ORIG_YR8_RT,Percent of not-first-generation students who were still enrolled at original institution within 8 years
1589,NOT1STGEN_ENRL_4YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 8 years
1590,NOT1STGEN_ENRL_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 8 years
1591,NOT1STGEN_UNKN_ORIG_YR8_RT,Percent of not-first-generation students with status unknown within 8 years at original institution
1592,NOT1STGEN_UNKN_4YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years
1593,NOT1STGEN_UNKN_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years
1594,RPY_1YR_RT,"Fraction of repayment cohort who are not in default, and with loan balances that have declined one year since entering repayment, excluding enrolled and military deferment from calculation. (Rolling averages)"
1595,COMPL_RPY_1YR_RT,One-year repayment rate for completers
1596,NONCOM_RPY_1YR_RT,One-year repayment rate for non-completers
1597,LO_INC_RPY_1YR_RT,"One-year repayment rate by family income ($0-30,000)"
1598,MD_INC_RPY_1YR_RT,"One-year repayment rate by family income ($30,000-75,000)"
1599,HI_INC_RPY_1YR_RT,"One-year repayment rate by family income ($75,000+)"
1600,DEP_RPY_1YR_RT,One-year repayment rate for dependent students
1601,IND_RPY_1YR_RT,One-year repayment rate for independent students
1602,PELL_RPY_1YR_RT,One-year repayment rate for students who received a Pell grant while at the school
1603,NOPELL_RPY_1YR_RT,One-year repayment rate for students who never received a Pell grant while at school
1604,FEMALE_RPY_1YR_RT,One-year repayment rate for females
1605,MALE_RPY_1YR_RT,One-year repayment rate for males
1606,FIRSTGEN_RPY_1YR_RT,One-year repayment rate for first-generation students
1607,NOTFIRSTGEN_RPY_1YR_RT,One-year repayment rate for students who are not first-generation
1608,RPY_3YR_RT,"Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)"
1609,COMPL_RPY_3YR_RT,Three-year repayment rate for completers
1610,NONCOM_RPY_3YR_RT,Three-year repayment rate for non-completers
1611,LO_INC_RPY_3YR_RT,"Three-year repayment rate by family income ($0-30,000)"
1612,MD_INC_RPY_3YR_RT,"Three-year repayment rate by family income ($30,000-75,000)"
1613,HI_INC_RPY_3YR_RT,"Three-year repayment rate by family income ($75,000+)"
1614,DEP_RPY_3YR_RT,Three-year repayment rate for dependent students
1615,IND_RPY_3YR_RT,Three-year repayment rate for independent students
1616,PELL_RPY_3YR_RT,Three-year repayment rate for students who received a Pell grant while at the school
1617,NOPELL_RPY_3YR_RT,Three-year repayment rate for students who never received a Pell grant while at school
1618,FEMALE_RPY_3YR_RT,Three-year repayment rate for females
1619,MALE_RPY_3YR_RT,Three-year repayment rate for males
1620,FIRSTGEN_RPY_3YR_RT,Three-year repayment rate for first-generation students
1621,NOTFIRSTGEN_RPY_3YR_RT,Three-year repayment rate for students who are not first-generation
1622,RPY_5YR_RT,"Fraction of repayment cohort who are not in default, and with loan balances that have declined five years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)"
1623,COMPL_RPY_5YR_RT,Five-year repayment rate for completers
1624,NONCOM_RPY_5YR_RT,Five-year repayment rate for non-completers
1625,LO_INC_RPY_5YR_RT,"Five-year repayment rate by family income ($0-30,000)"
1626,MD_INC_RPY_5YR_RT,"Five-year repayment rate by family income ($30,000-75,000)"
1627,HI_INC_RPY_5YR_RT,"Five-year repayment rate by family income ($75,000+)"
1628,DEP_RPY_5YR_RT,Five-year repayment rate for dependent students
1629,IND_RPY_5YR_RT,Five-year repayment rate for independent students
1630,PELL_RPY_5YR_RT,Five-year repayment rate for students who received a Pell grant while at the school
1631,NOPELL_RPY_5YR_RT,Five-year repayment rate for students who never received a Pell grant while at school
1632,FEMALE_RPY_5YR_RT,Five-year repayment rate for females
1633,MALE_RPY_5YR_RT,Five-year repayment rate for males
1634,FIRSTGEN_RPY_5YR_RT,Five-year repayment rate for first-generation students
1635,NOTFIRSTGEN_RPY_5YR_RT,Five-year repayment rate for students who are not first-generation
1636,RPY_7YR_RT,"Fraction of repayment cohort who are not in default, and with loan balances that have declined seven years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)"
1637,COMPL_RPY_7YR_RT,Seven-year repayment rate for completers
1638,NONCOM_RPY_7YR_RT,Seven-year repayment rate for non-completers
1639,LO_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($0-30,000)"
1640,MD_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($30,000-75,000)"
1641,HI_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($75,000+)"
1642,DEP_RPY_7YR_RT,Seven-year repayment rate for dependent students
1643,IND_RPY_7YR_RT,Seven-year repayment rate for independent students
1644,PELL_RPY_7YR_RT,Seven-year repayment rate for students who received a Pell grant while at the school
1645,NOPELL_RPY_7YR_RT,Seven-year repayment rate for students who never received a Pell grant while at school
1646,FEMALE_RPY_7YR_RT,Seven-year repayment rate for females
1647,MALE_RPY_7YR_RT,Seven-year repayment rate for males
1648,FIRSTGEN_RPY_7YR_RT,Seven-year repayment rate for first-generation students
1649,NOTFIRSTGEN_RPY_7YR_RT,Seven-year repayment rate for students who are not first-generation
1650,INC_PCT_LO,"Percentage of aided students whose family income is between $0-$30,000"
1651,DEP_STAT_PCT_IND,Percentage of students who are financially independent
1652,IND_INC_PCT_LO,"Percentage of students who are financially independent and have family incomes between $0-30,000"
1653,DEP_INC_PCT_LO,"Percentage of students who are financially dependent and have family incomes between $0-30,000"
1654,PAR_ED_PCT_1STGEN,Percentage first-generation students
1655,INC_PCT_M1,"Aided students with family incomes between $30,001-$48,000 in nominal dollars"
1656,INC_PCT_M2,"Aided students with family incomes between $48,001-$75,000 in nominal dollars"
